z_position,V_barrier,V_self_trapping,V_effective,psi_squared_density
-10.0,0.004393693362340741,-1.154189794005963e-21,0.004393693362340741,7.69459862670642e-23
-9.97997997997998,0.00444895916565997,-1.409730315328367e-21,0.00444895916565997,9.398202102189114e-23
-9.95995995995996,0.004504807279333123,-1.721158169818748e-21,0.004504807279333123,1.1474387798791653e-22
-9.93993993993994,0.004561242197619807,-2.1005424396419313e-21,0.004561242197619807,1.4003616264279542e-22
-9.91991991991992,0.004618268426765271,-2.5625247730781322e-21,0.004618268426765271,1.7083498487187548e-22
-9.8998998998999,0.004675890484696211,-3.1248603892596345e-21,0.004675890484696211,2.083240259506423e-22
-9.87987987987988,0.0047341129007113115,-3.809071277906431e-21,0.0047341129007113115,2.539380851937621e-22
-9.85985985985986,0.004792940215166467,-4.641234527144872e-21,0.004792940215166467,3.0941563514299145e-22
-9.83983983983984,0.004852376979154705,-5.652933330209543e-21,0.004852376979154705,3.7686222201396955e-22
-9.81981981981982,0.004912427754180765,-6.882403754931215e-21,0.004912427754180765,4.588269169954143e-22
-9.7997997997998,0.0049730971118303316,-8.375916986932112e-21,0.0049730971118303316,5.583944657954741e-22
-9.77977977977978,0.005034389633433892,-1.0189444691141123e-20,0.005034389633433892,6.792963127427415e-22
-9.75975975975976,0.005096309909725215,-1.2390664630044806e-20,0.005096309909725215,8.260443086696537e-22
-9.73973973973974,0.005158862540494434,-1.50613750327567e-20,0.005158862540494434,1.0040916688504467e-21
-9.71971971971972,0.005222052134235714,-1.8300399785634778e-20,0.005222052134235714,1.2200266523756519e-21
-9.6996996996997,0.005285883307789485,-2.2227082739998017e-20,0.005285883307789485,1.4818055159998677e-21
-9.67967967967968,0.005350360685979254,-2.6985488813416616e-20,0.005350360685979254,1.7990325875611078e-21
-9.65965965965966,0.005415488901242956,-3.274945270174112e-20,0.005415488901242956,2.1832968467827415e-21
-9.63963963963964,0.0054812725932588445,-3.9728643636585596e-20,0.0054812725932588445,2.64857624243904e-21
-9.61961961961962,0.005547716408565914,-4.8175847568860423e-20,0.005547716408565914,3.2117231712573617e-21
-9.5995995995996,0.005614825000178836,-5.839570744368475e-20,0.005614825000178836,3.893047162912317e-21
-9.57957957957958,0.00568260302719742,-7.075520905438467e-20,0.00568260302719742,4.717013936958978e-21
-9.55955955955956,0.0057510551544105665,-8.569625574471165e-20,0.0057510551544105665,5.7130837163141105e-21
-9.53953953953954,0.005820186051894719,-1.037507416535668e-19,0.005820186051894719,6.916716110237786e-21
-9.51951951951952,0.005890000394606808,-1.2555861226106372e-19,0.005890000394606808,8.370574150737582e-21
-9.4994994994995,0.005960502861971691,-1.5188949506181601e-19,0.005960502861971691,1.01259663374544e-20
-9.47947947947948,0.0060316981374640664,-1.8366859505766724e-19,0.0060316981374640664,1.2244573003844484e-20
-9.45945945945946,0.006103590908184861,-2.2200768273635096e-19,0.006103590908184861,1.4800512182423398e-20
-9.43943943943944,0.0061761858644321125,-2.6824216019695887e-19,0.0061761858644321125,1.788281067979726e-20
-9.41941941941942,0.00624948769926632,-3.239753787215477e-19,0.00624948769926632,2.1598358581436514e-20
-9.3993993993994,0.006323501108070268,-3.9113160383706393e-19,0.006323501108070268,2.607544025580426e-20
-9.37937937937938,0.006398230788103332,-4.720192882131312e-19,0.006398230788103331,3.146795254754208e-20
-9.35935935935936,0.006473681438050268,-5.694066262116862e-19,0.006473681438050267,3.796044174744575e-20
-9.33933933933934,0.006549857757564476,-6.866117355246295e-19,0.006549857757564475,4.577411570164197e-20
-9.31931931931932,0.006626764446805754,-8.276102516952824e-19,0.006626764446805753,5.51740167796855e-20
-9.2992992992993,0.006704406205972541,-9.971636428992447e-19,0.00670440620597254,6.647757619328298e-20
-9.27927927927928,0.006782787734828668,-1.200972169863654e-18,0.006782787734828667,8.00648113242436e-20
-9.25925925925926,0.00686191373222459,-1.4458571465437042e-18,0.006861913732224588,9.639047643624694e-20
-9.23923923923924,0.006941788895613155,-1.739978021528704e-18,0.006941788895613153,1.1599853476858026e-19
-9.21921921921922,0.0070224179205598735,-2.0930908220878166e-18,0.007022417920559872,1.3953938813918777e-19
-9.1991991991992,0.0071038055002477386,-2.5168557104750628e-18,0.007103805500247736,1.677903806983375e-19
-9.17917917917918,0.0071859563249765685,-3.0252028287216705e-18,0.007185956324976566,2.0168018858144471e-19
-9.15915915915916,0.00726887508165692,-3.63476729256927e-18,0.007268875081656917,2.4231781950461797e-19
-9.13913913913914,0.007352566453298553,-4.365406183135432e-18,0.0073525664532985485,2.9102707887569545e-19
-9.11911911911912,0.007437035118493501,-5.2408127299862485e-18,0.007437035118493496,3.4938751533241657e-19
-9.0990990990991,0.0075222857508937205,-6.2892456444330845e-18,0.0075222857508937145,4.1928304296220564e-19
-9.07907907907908,0.007608323018683351,-7.544394820844851e-18,0.007608323018683343,5.029596547229901e-19
-9.05905905905906,0.007695151584045639,-9.046408463030771e-18,0.00769515158404563,6.030938975353848e-19
-9.03903903903904,0.007782776102624464,-1.0843111213582606e-17,0.007782776102624453,7.22874080905507e-19
-9.01901901901902,0.007871201222980594,-1.299144818506309e-17,0.007871201222980581,8.660965456708727e-19
-8.998998998999,0.007960431586042593,-1.55591960518707e-17,0.007960431586042578,1.03727973679138e-18
-8.97897897897898,0.008050471824552449,-1.862698972285913e-17,0.00805047182455243,1.2417993148572753e-18
-8.95895895895896,0.00814132656250596,-2.2290721767169978e-17,0.008141326562505937,1.4860481178113319e-18
-8.93893893893894,0.008233000414587872,-2.6664381931085815e-17,0.008233000414587846,1.7776254620723877e-18
