Temperature,Mean_SNR,SEM_SNR
0.0,-inf,
0.02,-21.652080061319666,0.2146007815023184
0.04,-24.51478662883543,0.22814306590344705
0.06,-26.2614773713587,0.21336683465097775
0.08,-27.968357315257993,0.20539173474432332
0.1,-28.459816586952652,0.24151053633700278
0.12,-29.31904490699374,0.21186058935556645
0.14,-30.054967640913322,0.21447416568227723
0.16,-30.569224702816715,0.2225528017498864
0.18,-30.968171566997363,0.20639639449002706
0.2,-31.656681373806013,0.22261520119881273
0.22,-32.35438124091197,0.20791291616100605
0.24,-32.58938596836341,0.2137637298893888
0.26,-33.122870531199716,0.22348745258262404
0.28,-33.471728384589085,0.22861326612774704
0.3,-33.08807350912935,0.22934794601284653
0.32,-33.74914927221685,0.22366773327929032
0.34,-33.77807598196946,0.21154391639657355
0.36,-34.39365441039608,0.19913181482690323
0.38,-34.61002150399652,0.19868111522223345
0.4,-34.66590835837883,0.1985960415751224
0.42,-34.540815229296115,0.19764484510524075
0.44,-35.1273625722537,0.20539917643080557
0.46,-35.51588482241877,0.238929048614142
0.48,-35.64742162940398,0.19212493313685367
0.5,-35.711142445436934,0.23709343093192864
