time,zb_position
5.001,2.232199216162161
5.002,2.2321525791940258
5.003,2.2320990311474866
5.0040000000000004,2.2320148715718147
5.005,2.231924527770643
5.006,2.2318241494977946
5.007,2.2317146794655165
5.008,2.231608089193165
5.009,2.2315256785279747
5.01,2.231435215850407
5.011,2.2313519168513882
5.0120000000000005,2.231269103340887
5.013,2.2311848992609047
5.014,2.231054028835497
5.015,2.23092641564977
5.016,2.2308075847658424
5.017,2.2306960695183364
5.018,2.230557995848774
5.019,2.230404119060432
5.0200000000000005,2.2302632773953257
5.021,2.2301350621667444
5.022,2.2300194464554965
5.023,2.2299052706091214
5.024,2.229789101447229
5.025,2.2296899952442772
5.026,2.229613097872634
5.027,2.229519123771648
5.0280000000000005,2.2294047818411853
5.029,2.2292796676841258
5.03,2.229162888585159
5.031,2.229036063424907
5.032,2.228907552041791
5.033,2.228773158123636
5.034,2.228636048832297
5.035,2.2284742140977376
5.0360000000000005,2.2283041019564807
5.037,2.228113429136145
5.038,2.2279431543267756
5.039,2.227779123144806
5.04,2.227605093409508
5.041,2.2274352454749353
5.042,2.227238688884396
5.043,2.2270537252332088
5.0440000000000005,2.2268648261050425
5.045,2.2266515637313495
5.046,2.22643150393851
5.047,2.226224124061499
5.048,2.2260241750093335
5.049,2.225815369785577
5.05,2.2256061968863428
5.051,2.225384941517703
5.0520000000000005,2.2251729955792863
5.053,2.224969004717316
5.054,2.2247428784175645
5.055,2.224522368239827
5.056,2.224329979845798
5.057,2.2241500124651403
5.058,2.223979582987276
5.059,2.2238203244360073
5.0600000000000005,2.2236617891061106
5.061,2.2235191129629857
5.062,2.223365298477533
5.063,2.2232336353403026
5.064,2.223123039154512
5.065,2.2229964038519188
5.066,2.222890151394619
5.067,2.222789208788163
5.0680000000000005,2.222669420645319
5.069,2.222564610762792
5.07,2.2224555563197885
5.071,2.2223552229697834
5.072,2.2222595699124765
5.073,2.2221567476872246
5.074,2.2220314951242943
5.075,2.221909654461091
5.0760000000000005,2.2217927666375026
5.077,2.2216851990961453
5.078,2.22158477376437
5.079,2.221511366767622
5.08,2.2214572737706133
5.081,2.2214250214886895
5.082,2.2214010378778504
5.083,2.221368177160563
5.0840000000000005,2.221345198729535
5.085,2.221340760482985
5.086,2.2213596925004713
5.087,2.2213697397068635
5.088,2.2213701803007933
5.089,2.2213533707620767
5.09,2.22132133028599
5.091,2.221278278187624
5.0920000000000005,2.221259096397207
5.093,2.2212505355822465
5.094,2.221232182683556
5.095,2.221225015215164
5.096,2.2211997269486052
5.097,2.221190508547869
5.098,2.221176198982461
5.099,2.2211604334140187
5.1000000000000005,2.221144843070865
5.101,2.221105568136032
5.102,2.221059889305416
5.103,2.220998534769424
5.104,2.220928750089125
5.105,2.2208590297568978
5.106,2.220786647617125
5.107,2.220720854321752
5.1080000000000005,2.22065225404236
5.109,2.220590000762804
5.11,2.2205218251399974
5.111,2.2204599765715396
5.112,2.2204051741798807
5.113,2.2203481045964546
5.114,2.220276306490196
5.115,2.2202148358085614
5.1160000000000005,2.2201463028807478
5.117,2.220086990612101
5.118,2.220031238586656
5.119,2.2200045391122503
5.12,2.219976863504339
5.121,2.219971729030656
5.122,2.2199653432765327
5.123,2.2199477874559834
5.124,2.21994884139296
5.125,2.2199766983052234
5.126,2.2199969043271657
5.127,2.220002922951425
5.128,2.2200051970911385
5.1290000000000004,2.2200054224520183
5.13,2.22001547846654
5.131,2.220020194007339
5.132,2.220005476881585
5.133,2.219997473429545
5.134,2.219983365322851
5.135,2.2199635649675313
5.136,2.2199478712140768
5.1370000000000005,2.2199357003499034
5.138,2.2199303846268967
5.139,2.219925202197005
5.14,2.219924569421244
5.141,2.2199138297834575
5.142,2.219891797187687
5.143,2.219866442249954
5.144,2.2198486673021005
5.1450000000000005,2.2198213768563755
5.146,2.219813884322245
5.147,2.219799256862096
5.148,2.219784046413281
5.149,2.21977278342709
5.15,2.2197760021909443
5.151,2.2197536647725116
5.152,2.21971385326268
5.1530000000000005,2.2196803554748965
5.154,2.219646396924118
5.155,2.2196117925730894
5.156,2.21954421555964
5.157,2.2194803611274136
5.158,2.2194294427291834
5.159,2.219368622118071
5.16,2.2193112693085326
5.1610000000000005,2.219248498410924
5.162,2.219179948775786
5.163,2.2190885330772394
5.164,2.2190026805540257
5.165,2.218936423049663
5.166,2.218853107056013
5.167,2.2187671832374
5.168,2.2186956784594725
5.1690000000000005,2.2186211608126274
5.17,2.2185433669965637
5.171,2.218479405820377
5.172,2.2184320545207066
5.173,2.2183802935364083
5.174,2.2183476143719965
5.175,2.2182938151134377
5.176,2.2182164263562636
5.1770000000000005,2.218166543235313
5.178,2.21810549245909
5.179,2.218051174315333
5.18,2.2179879428584663
5.181,2.2179439352717063
5.182,2.2179111113617878
5.183,2.217893946155502
5.184,2.217875339010271
5.1850000000000005,2.2178764235084794
5.186,2.2178654460645952
5.187,2.2178694896711955
5.188,2.2178599582808025
5.189,2.217863254932161
5.19,2.2178528601538217
5.191,2.217843424756378
5.192,2.2178439186314356
5.1930000000000005,2.217857388661411
5.194,2.2178848200416295
5.195,2.217915589875182
5.196,2.217942085671988
5.197,2.217997717338458
5.198,2.2180385354197654
5.199,2.218056604402906
5.2,2.2180938690466876
5.2010000000000005,2.218137328118613
5.202,2.2181928535060194
5.203,2.218228105835522
5.204,2.218262064955551
5.205,2.218305133255095
5.206,2.2183396932814254
5.207,2.218358228958591
5.208,2.218353514199095
5.2090000000000005,2.2183395593391193
5.21,2.218330638255095
5.211,2.218328223350128
5.212,2.2183171874487058
5.213,2.218298861495361
