T,mean_snr_db,sem_snr_db
0.1,0.3114910646421529,0.33089440264648085
0.2,0.2887020522510554,0.47456160590525814
0.3,-0.19802543526857216,0.3542209089890358
0.4,-0.8782436583426603,0.4770661769024012
0.5,-1.3172699748307353,0.46942106244292997
0.6,-0.4826185796299339,0.45579414840991345
0.7,-0.5967946478500167,0.4529478657049644
0.7999999999999999,-0.4665695362609983,0.40051469558285746
0.8999999999999999,-0.8838442492343447,0.40790724649117205
0.9999999999999999,-0.44106453250211186,0.3913500824808641
1.0999999999999999,-0.8463167799950935,0.4578253723579327
1.2,-1.076476613497058,0.4514319513110769
1.3,-0.35429022296117374,0.38986115555522327
1.4,-1.469375762046445,0.4908701821836691
1.5,0.011606854446893551,0.3250273573153549
1.5999999999999999,-0.5290579536004533,0.4247990358545311
1.7,-1.034031174804471,0.3438266675512253
1.8,-0.8966119065975583,0.3892138783913636
1.9,-0.6296997241190637,0.4041252518497579
2.0,-0.6884367454343725,0.4621079746292781
2.0999999999999996,-0.8872911387263036,0.45208966168174053
2.1999999999999997,-0.68477886880699,0.366937014333919
2.3,-1.062631570962935,0.4242606139001243
2.4,-0.4649620296277067,0.3643784419560607
2.5,-0.44765835338403837,0.4048799442110638
2.6,-0.08136251912289046,0.35908559554987046
2.6999999999999997,-0.8777692830994697,0.40908539479979406
2.8,-0.4385934918721502,0.37057166168897526
2.9,-0.26685211695372657,0.36023771783065484
3.0,-0.4836371554829085,0.36830325031334804
