time,barrier_z,soliton_z
0.0,2.731636358293113e-07,-0.24952133237987595
0.1,0.0003316751015807985,-0.16930912826234634
0.2,0.0009734983475959559,-0.14589728476327674
0.3,0.0012132969869049226,-0.14216281805370096
0.4,0.0009969349991461069,-0.12045019937706204
0.5,7.210756925736688e-05,-0.10281263211031604
0.6,-0.0012061887323652968,-0.09692844098894399
0.7000000000000001,-0.0028564366432775666,-0.08378693542776622
0.8,-0.004634776333286918,-0.0692771139200352
0.9,-0.0064866184399245954,-0.06297730265760465
1.0,-0.007001893527234882,-0.053691798361712735
1.1,-0.006993089169505315,-0.04129406277205067
1.2,-0.006885892723290439,-0.03471180783128682
1.3,-0.006274126749119783,-0.027622701712800277
1.4000000000000001,-0.0055841770185363305,-0.016924416582039945
1.5,-0.004616260041108756,-0.0101050341402916
1.6,-0.004657299842267007,-0.00434331297720944
1.7,-0.005027948170292137,0.004879211510457926
1.8,-0.00515216206062444,0.011858931742761066
1.9000000000000001,-0.004870513957829476,0.016842436724347248
2.0,-0.0048098727028930985,0.024755541751395466
2.1,-0.005661833318547232,0.03178377959482627
2.2,-0.006715240151378274,0.03636434969356021
2.3000000000000003,-0.008157152660300836,0.04312670067685747
2.4,-0.010093804269647599,0.05007091002907003
2.5,-0.011764656587620857,0.05450512087458215
2.6,-0.013950271205284517,0.06028527418623006
2.7,-0.016158014094995198,0.06701010932204998
2.8000000000000003,-0.017178027497260384,0.07146147646126215
2.9,-0.018185684338362068,0.07643924074854645
3.0,-0.019760342398017796,0.0828225840284812
3.1,-0.021026658501213928,0.08737793986373452
3.2,-0.02056218479370266,0.09173852066274257
3.3000000000000003,-0.019890557324182632,0.0976841720556962
3.4,-0.018709994635440458,0.10236674976758324
3.5,-0.016937198185271382,0.10629072420707979
3.6,-0.013955350310122322,0.11173772354733634
3.7,-0.010629173420460407,0.11652130617389286
3.8000000000000003,-0.00707843100212322,0.12017297162359604
3.9,-0.003994660065274718,0.12509915801847038
4.0,-0.0010413590717275433,0.12992330504385805
4.1,0.001334603163973905,0.13344122273195858
4.2,0.003654485808308593,0.13786231579598804
4.3,0.00660312770510952,0.14264695487435794
4.4,0.010607053826642811,0.14613640933836947
4.5,0.014262687099353391,0.1501015116048102
4.6000000000000005,0.016654949683200946,0.15476184053570213
4.7,0.018741735606881936,0.15829065203328066
4.8,0.021002509735311897,0.1618733512896544
4.9,0.022542313956079474,0.16633260720669765
5.0,0.023892090866395665,0.1699318703588274
5.1000000000000005,0.024639532449767347,0.17322002003802794
5.2,0.024642297914814176,0.17741866208753465
5.3,0.025128585227629865,0.18108620716930202
5.4,0.025340035647575386,0.18417135264909115
5.5,0.024693586449302026,0.1880737585692226
5.6000000000000005,0.023685812935735007,0.19178088181806974
5.7,0.023186956250050083,0.1947474558553335
5.8,0.02292695847080801,0.1983440972327155
5.9,0.022460612549731626,0.2020450014824729
6.0,0.021983536691905347,0.20496240277796784
6.1000000000000005,0.02099699685154132,0.2082680566870807
6.2,0.01892445282039035,0.21190904178265996
6.3,0.016894542622252543,0.21482631725932103
6.4,0.014666509101621329,0.21787612937296585
6.5,0.011343616375892427,0.22140490612934957
6.6000000000000005,0.008412190555334532,0.224347967069654
6.7,0.005589498802943441,0.22719050459227202
6.8,0.0032152749443768312,0.23056424578490672
6.9,0.0021077056494733823,0.2335372167682937
7.0,0.0013297178046484434,0.2362266215119566
7.1000000000000005,0.00044976637298081484,0.23941679280129527
7.2,-0.0005329179663516121,0.24240560901596583
7.3,-0.0025541684623353465,0.24499449191253383
7.4,-0.004187350199791253,0.2479896102986398
7.5,-0.005930816338081312,0.2509672946452995
7.6000000000000005,-0.007800342001158445,0.25349996356637694
7.7,-0.009049928137809745,0.25630542323022665
7.8,-0.010560368949719946,0.2592390871645642
7.9,-0.012319708173402286,0.26174714352020495
8.0,-0.014896771901750497,0.2643820447044594
8.1,-0.01751864923560047,0.2672392184920824
8.2,-0.020048323439607645,0.26973980395354336
8.3,-0.022460030174912552,0.2722326695371948
8.4,-0.025367414899903584,0.27498666530412547
8.5,-0.028742828009230694,0.2774825704004182
8.6,-0.03258710492330149,0.2798658684378819
8.700000000000001,-0.03592178285071496,0.28249981906402577
8.8,-0.03796516856126733,0.28498221586065364
8.9,-0.03935683224206421,0.2872867741633249
9.0,-0.04107278780786525,0.2897949776672643
9.1,-0.042167111754229936,0.29224762340952465
9.200000000000001,-0.043698531822688735,0.2944985103884327
9.3,-0.04595343107684841,0.2968857938385138
9.4,-0.049123960979726246,0.2992895269005412
9.5,-0.05266364184588902,0.3015032820466713
9.6,-0.05608120176274846,0.303782671577539
9.700000000000001,-0.06004529024850838,0.30611985871570774
9.8,-0.06452727251474327,0.30830374777766867
9.9,-0.06882212030828444,0.31049286729328895
10.0,-0.07285262784666464,0.31275048941031963
10.1,-0.07570626139579872,0.31490365661842884
10.200000000000001,-0.07791272276355982,0.3170213488073179
10.3,-0.07991483458967379,0.3191924945547429
10.4,-0.08166655252123885,0.32130785855720895
10.5,-0.08373662229627592,0.32337151842440376
10.6,-0.08564788261687807,0.32545582638247567
10.700000000000001,-0.08745776966116835,0.32752211959930594
