time,z_barrier_pos,E_total,norm
0.0,-10.0,0.6092383479303461,1.0000000000000002
0.2,-9.999998690141837,0.6189049474078072,1.0000000000000144
0.4,-9.99999476646343,0.6472527841147061,1.0000000000000309
0.6,-9.999988244878766,0.6921006475094688,1.0000000000000473
0.8,-9.999979163867712,0.7500256487793486,1.0000000000000653
1.0,-9.999967584619364,0.8165343032974718,1.0000000000000833
1.2,-9.999953591461196,0.8851891810138157,1.0000000000001013
1.4000000000000001,-9.999937292908475,0.9426058902897716,1.0000000000001228
1.6,-9.999918815807133,0.9763461313131416,1.0000000000001465
1.8,-9.999898289134117,0.9935214901413318,1.0000000000001645
2.0,-9.999875896226019,0.999208701427778,1.0000000000001767
2.2,-9.999851849947326,0.9855434893377406,1.000000000000184
2.4,-9.999826300828133,0.9726005804297524,1.00000000000019
2.6,-9.999799371681853,0.9382904944188205,1.0000000000002038
2.8000000000000003,-9.999771304844586,0.8901454858567204,1.0000000000002207
3.0,-9.999742347666787,0.8332844561544464,1.0000000000002358
3.2,-9.999712740731418,0.7771025126020003,1.0000000000002534
3.4,-9.999682749316099,0.7319182112230044,1.0000000000002678
3.6,-9.999652643609252,0.6769300664623732,1.0000000000002838
3.8000000000000003,-9.999622654442579,0.6141258142481874,1.0000000000002967
4.0,-9.999592996496679,0.551961689581951,1.0000000000003124
4.2,-9.999563896121462,0.49078602612704664,1.0000000000003308
4.4,-9.999535572382726,0.4345795699033649,1.0000000000003457
4.6000000000000005,-9.999508225705853,0.38907342021479174,1.000000000000362
4.8,-9.999482069938162,0.3537159713882924,1.000000000000381
5.0,-9.999457311092721,0.33260550794191274,1.0000000000004023
5.2,-9.999434150833583,0.3243170990400009,1.000000000000423
5.4,-9.999412789327023,0.33507851293607127,1.0000000000004439
5.6000000000000005,-9.999393415241599,0.3471362024183967,1.000000000000471
5.8,-9.999376197247328,0.36797864127477137,1.0000000000004952
6.0,-9.999361287868426,0.3939768802369882,1.0000000000005183
6.2,-9.999348831348803,0.42070450084488864,1.0000000000005402
6.4,-9.99933895636379,0.449348526128957,1.0000000000005653
6.6000000000000005,-9.99933177421856,0.47239128374212064,1.000000000000589
6.8,-9.999327381379722,0.4945189155404154,1.0000000000006122
7.0,-9.999325846494488,0.5079432801280578,1.0000000000006342
7.2,-9.999327221355543,0.5177954745465243,1.0000000000006548
7.4,-9.99933152384998,0.5182593183101813,1.0000000000006777
7.6000000000000005,-9.999338751875241,0.5147693479354017,1.0000000000007006
7.8,-9.999348872322683,0.5024495043380045,1.0000000000007219
8.0,-9.999361826039427,0.4855673643446721,1.0000000000007419
8.2,-9.999377528521935,0.4646814263708378,1.0000000000007634
8.4,-9.999395866573028,0.438291859619046,1.0000000000007847
8.6,-9.9994167059251,0.41434804162927946,1.0000000000008074
8.8,-9.999439887662534,0.3871587408717228,1.0000000000008302
9.0,-9.99946523509876,0.3667053178426585,1.0000000000008529
9.200000000000001,-9.999492553147867,0.34798748156471737,1.0000000000008755
9.4,-9.99952163306911,0.337178311348939,1.0000000000008997
9.6,-9.99955225105103,0.3328648252122169,1.0000000000009266
9.8,-9.999584173520777,0.335531818245251,1.0000000000009517
10.0,-9.999617156833319,0.346853058915305,1.0000000000009754
10.200000000000001,-9.999650951351294,0.3629515762558582,1.0000000000009996
10.4,-9.999685304871733,0.3872367342022207,1.0000000000010216
10.6,-9.999719960391435,0.4106562049119209,1.0000000000010434
10.8,-9.999754665554573,0.4394453015805677,1.0000000000010643
11.0,-9.999789163061372,0.4655922209777153,1.0000000000010836
11.200000000000001,-9.99982320603601,0.4923698323446539,1.0000000000011033
11.4,-9.999856548281294,0.5153142299949248,1.0000000000011264
11.6,-9.999888961618788,0.5238531854212581,1.0000000000011497
11.8,-9.999920207405639,0.5287229536391966,1.0000000000011728
12.0,-9.999950052346167,0.527950844583328,1.000000000001195
12.200000000000001,-9.999978291302686,0.5261808706376813,1.0000000000012184
12.4,-10.000004725467893,0.5056546415859886,1.000000000001244
12.6,-10.000029162308278,0.4854927860715298,1.0000000000012668
12.8,-10.000051427846646,0.46152950848525776,1.0000000000012899
13.0,-10.000071358222653,0.42894733764873,1.0000000000013156
13.200000000000001,-10.00008880343474,0.4025615408073819,1.0000000000013403
13.4,-10.000103634014879,0.37726254156728345,1.0000000000013685
13.6,-10.00011573842817,0.35176184481148093,1.0000000000013947
13.8,-10.000125022363832,0.335382378803338,1.0000000000014195
14.0,-10.000131413962091,0.32850931786398985,1.0000000000014453
14.200000000000001,-10.000134865182916,0.3249259517259885,1.000000000001473
14.4,-10.000135347986511,0.3293248823754431,1.0000000000014981
14.6,-10.0001328579447,0.3438856357119992,1.0000000000015192
14.8,-10.000127414947888,0.36565779202541676,1.0000000000015443
15.0,-10.00011906139969,0.3853641869744144,1.0000000000015679
15.200000000000001,-10.00010786090736,0.41175879383530284,1.0000000000015914
15.4,-10.000093897393496,0.44222499214972383,1.000000000001614
15.6,-10.00007727854327,0.466479568112755,1.0000000000016391
15.8,-10.000058130345193,0.48536849846425006,1.0000000000016633
16.0,-10.000036593683642,0.5020375245289086,1.0000000000016858
16.2,-10.000012829833667,0.5104728352413143,1.000000000001715
16.4,-9.999987018352714,0.5097124060105023,1.0000000000017415
16.6,-9.999959351507588,0.5029305749827044,1.0000000000017681
16.8,-9.999930037984665,0.48678836197089786,1.000000000001795
17.0,-9.999899304853875,0.46450308230352355,1.0000000000018194
17.2,-9.999867389555375,0.4386899033222189,1.0000000000018443
17.400000000000002,-9.999834543090945,0.40818196912791516,1.0000000000018712
