time,barrier_z,soliton_z,gamma
0.0,-10.0,-9.999923,1.8
0.2,-9.999999975807809,-9.96968,1.8
0.4,-9.999999807768765,-9.9394245,1.8
0.6,-9.999999354434983,-9.909126,1.8
0.8,-9.999998477066715,-9.878782,1.8
1.0,-9.999997056069633,-9.864891,1.8
1.2,-9.999995025757798,-9.8400345,1.8
1.4000000000000001,-9.999992302265959,-9.816874,1.8
1.6,-9.999988809263415,-9.791754,1.8
1.8,-9.999984479270264,-9.768126,1.8
2.0,-9.99997925464738,-9.74318,1.8
2.2,-9.999973087879841,-9.718597,1.8
2.4,-9.999965943024794,-9.694101,1.8
2.6,-9.99995779644756,-9.66902,1.8
2.8000000000000003,-9.999948637051016,-9.644534,1.8
3.0,-9.999938466649533,-9.619284,1.8
3.2,-9.99992729962357,-9.594553,1.8
3.4,-9.999915163107914,-9.569264,1.8
3.6,-9.999902096598033,-9.544187,1.8
3.8000000000000003,-9.999888151872447,-9.518786,1.8
4.0,-9.99987339252422,-9.4931555,1.8
4.2,-9.999857893519573,-9.466473,1.8
4.4,-9.999841740565975,-9.435145,1.8
4.6000000000000005,-9.999825029308445,-9.393572,1.8
4.8,-9.999807864491041,-9.338606,1.8
5.0,-9.999790358880805,-9.2785,1.8
5.2,-9.999772632227378,-9.220042,1.8
5.4,-9.999754810014961,-9.1630335,1.8
5.6000000000000005,-9.999737022260438,-9.107921,1.8
5.8,-9.99971940217181,-9.055328,1.8
6.0,-9.999702084835636,-9.004974,1.8
6.2,-9.999685205854792,-8.956558,1.8
6.4,-9.999668899991871,-8.910457,1.8
6.6000000000000005,-9.999653299841286,-8.869116,1.8
6.8,-9.999638534504918,-8.83388,1.8
7.0,-9.999624728352298,-8.79883,1.8
7.2,-9.999611999779887,-8.761262,1.8
7.4,-9.999600460078614,-8.736792,1.8
7.6000000000000005,-9.999590212341758,-8.7001,1.8
7.8,-9.999581350487835,-8.664772,1.8
8.0,-9.999573958354148,-8.631048,1.8
8.2,-9.999568108905665,-8.588913,1.8
8.4,-9.999563863544749,-8.551562,1.8
8.6,-9.999561271518841,-8.509719,1.8
8.8,-9.999560369460207,-8.463325,1.8
9.0,-9.999561181019027,-8.426722,1.8
9.200000000000001,-9.999563716634162,-8.372218,1.8
9.4,-9.999567973404488,-8.3334055,1.8
9.6,-9.999573935092364,-8.286558,1.8
9.8,-9.999581572222095,-8.230775,1.8
10.0,-9.999590842296127,-8.191706,1.8
10.200000000000001,-9.99960169012188,-8.143665,1.8
10.4,-9.999614048267857,-8.084248,1.8
10.6,-9.999627837645905,-8.041051,1.8
10.8,-9.999642968186059,-8.000574,1.8
11.0,-9.999659339599999,-7.9426546,1.8
11.200000000000001,-9.999676842205165,-7.886096,1.8
11.4,-9.999695357825782,-7.847212,1.8
11.6,-9.999714760760313,-7.8099604,1.8
11.8,-9.999734918809505,-7.755206,1.8
12.0,-9.99975569435477,-7.6966424,1.8
12.200000000000001,-9.999776945470092,-7.651144,1.8
12.4,-9.999798527061445,-7.621033,1.8
12.6,-9.999820292013894,-7.5830493,1.8
12.8,-9.999842092358659,-7.528715,1.8
13.0,-9.99986378043707,-7.4740934,1.8
13.200000000000001,-9.999885210060484,-7.4283767,1.8
13.4,-9.999906237653118,-7.391281,1.8
13.6,-9.999926723371686,-7.3573456,1.8
13.8,-9.999946532188957,-7.3152947,1.8
14.0,-9.999965534928197,-7.265375,1.8
14.200000000000001,-9.999983609250277,-7.212151,1.8
14.4,-10.000000640576546,-7.162107,1.8
14.6,-10.000016522942513,-7.1199174,1.8
14.8,-10.000031159777205,-7.083417,1.8
15.0,-10.000044464613461,-7.0512867,1.8
15.200000000000001,-10.000056361712032,-7.0141754,1.8
15.4,-10.000066786599186,-6.9712543,1.8
15.6,-10.000075686506273,-6.92608,1.8
15.8,-10.000083020716577,-6.8787394,1.8
16.0,-10.00008876081072,-6.8394675,1.8
16.2,-10.000092890808252,-6.7994485,1.8
16.4,-10.000095407221144,-6.7682476,1.8
16.6,-10.000096319000122,-6.7608204,1.8
16.8,-10.000095647383525,-6.7330704,1.8
17.0,-10.000093425648485,-6.6981373,1.8
17.2,-10.000089698767892,-6.677452,1.8
17.400000000000002,-10.000084522977657,-6.641895,1.8
17.6,-10.000077965258358,-6.6027994,1.8
17.8,-10.000070102730994,-6.5613613,1.8
18.0,-10.00006102198283,-6.53383,1.8
18.2,-10.000050818317392,-6.504847,1.8
18.400000000000002,-10.000039594936682,-6.5044146,1.8
18.6,-10.000027462074804,-6.4654603,1.8
18.8,-10.000014536081972,-6.4511604,1.8
19.0,-10.000000938454315,-6.4327374,1.8
19.2,-9.999986794846063,-6.4277782,1.8
19.400000000000002,-9.999972234055889,-6.388894,1.8
19.6,-9.999957386995188,-6.360058,1.8
19.8,-9.999942385639647,-6.3343773,1.8
20.0,-9.999927361978067,-6.2996845,1.8
20.2,-9.999912446967038,-6.266573,1.8
20.400000000000002,-9.999897769498652,-6.2309604,1.8
20.6,-9.999883455398944,-6.200133,1.8
20.8,-9.999869626454633,-6.1748285,1.8
21.0,-9.999856399476776,-6.145238,1.8
21.2,-9.99984388540441,-6.1304626,1.8
21.400000000000002,-9.999832188473112,-6.0995173,1.8
21.6,-9.999821405437517,-6.0884385,1.8
21.8,-9.999811624862543,-6.060148,1.8
22.0,-9.999802926479619,-6.0469456,1.8
22.2,-9.999795380619599,-6.036416,1.8
22.400000000000002,-9.999789047726004,-5.990365,1.8
22.6,-9.999783977952951,-5.980507,1.8
22.8,-9.999780210848048,-5.933654,1.8
23.0,-9.999777775109163,-5.9111185,1.8
23.2,-9.999776688427678,-5.878241,1.8
23.400000000000002,-9.999776957429702,-5.8383403,1.8
23.6,-9.99977857770589,-5.7984586,1.8
23.8,-9.999781533930843,-5.752802,1.8
24.0,-9.999785800071157,-5.712024,1.8
24.2,-9.999791339665359,-5.67329,1.8
24.400000000000002,-9.999798106190388,-5.626891,1.8
24.6,-9.999806043513646,-5.5905538,1.8
24.8,-9.999815086412527,-5.56675,1.8
25.0,-9.999825161161688,-5.515203,1.8
25.2,-9.99983618618082,-5.470221,1.8
25.400000000000002,-9.999848072746008,-5.459617,1.8
25.6,-9.999860725758543,-5.401074,1.8
